N,Tempo
56,1.167496
56,1.956094
56,3.224088
56,3.175336
57,3.12701
57,2.976906
57,4.296648
57,3.280538
57,3.89679
57,1.389024
57,2.790018
57,1.61953
57,1.668282
57,2.04761
58,1.883818
58,5.606126
58,2.86272
58,2.15196
58,3.187312
58,2.030504
58,2.646326
58,2.23578
58,3.222378
58,1.572488
59,3.339984
59,1.395866
59,2.680968
59,3.64533
59,2.218244
59,4.565642
59,1.4057
59,1.66486
59,1.061438
59,3.216392
60,1.82694
60,2.564646
60,2.644188
60,2.298214
60,1.955666
60,3.147112
60,1.50449
60,1.6067
60,1.53143
60,1.40613
61,2.661296
61,1.249178
61,2.73528
61,3.695364
61,1.83079
61,1.578902
61,4.058016
61,1.152528
61,1.50235
61,2.090806
62,2.101496
62,3.842478
62,2.571488
62,1.55923
62,1.512186
62,1.218814
62,1.398004
62,1.202138
62,2.036492
62,1.380898
63,3.633354
63,1.726444
63,1.64476
63,2.590304
63,2.136564
63,1.439058
63,2.180612
63,1.69608
63,4.801708
63,2.645472
64,2.042906
64,2.377334
64,6.826652
64,4.105484
64,1.546828
64,1.36037
64,1.450606
64,3.446898
64,3.644046
64,3.785602
65,1.66999
65,2.608694
65,2.260584
65,2.75495
65,1.919744
65,2.873412
65,1.494654
65,1.253456
65,1.389024
65,3.268138
66,2.400426
66,3.115036
66,3.131714
66,4.462578
66,2.221666
66,2.079686
66,2.80071
66,4.235066
66,3.12017
66,2.391018
67,2.492372
67,2.414966
67,2.69508
67,3.714608
67,4.915036
67,2.063862
67,3.109478
67,1.824374
67,3.287382
67,1.781612
68,3.456734
68,2.61468
68,2.658302
68,2.315322
68,3.149252
68,2.538986
68,5.704486
68,3.090662
68,1.74355
68,4.99843
69,3.046184
69,3.984458
69,3.768066
69,3.079542
69,7.75851
69,1.832072
69,3.23307
69,2.413256
69,2.548822
69,2.885816
70,3.6975
70,2.767782
70,3.602136
70,2.584318
70,4.202988
70,3.481964
70,3.123162
70,3.1129
70,4.05203
70,2.694224
71,4.742688
71,5.565926
71,3.168494
71,3.822806
71,6.345968
71,1.574198
71,3.084674
71,2.365784
71,4.461294
71,1.791874
72,2.534282
72,5.190018
72,5.171628
72,2.914468
72,4.362504
72,5.958084
72,2.68225
72,2.55481
72,3.380184
72,2.325158
73,3.869846
73,2.968778
73,5.033498
73,6.012826
73,4.242764
73,3.284816
73,7.47284
73,2.790446
73,3.77448
73,3.505058
74,8.745966
74,2.819956
74,2.929434
74,6.474266
74,3.533284
74,4.231644
74,3.9588
74,2.299072
74,6.05046
74,4.133712
75,3.440482
75,5.438058
75,3.173198
75,12.499492
75,3.492228
75,6.01411
75,4.361222
75,3.587168
75,4.176476
75,8.378612
76,3.873698
76,10.28039
76,4.13927
76,9.201418
76,2.329436
76,4.45659
76,4.87826
76,2.136134
76,5.849888
76,3.370774
77,1.77947
77,2.139556
77,2.37434
77,2.770776
77,3.310904
77,2.893082
77,4.451032
77,2.253314
77,2.112616
77,3.655594
78,2.346116
78,1.912898
78,3.310902
78,2.3923
78,5.592012
78,2.19729
78,5.219954
78,4.492942
78,4.324016
78,2.811402
79,4.145686
79,4.968066
79,5.279826
79,5.26999
79,9.924584
79,3.868992
79,6.838198
79,4.442476
79,4.725584
79,2.489806
80,2.875124
80,5.408978
80,4.368492
80,3.11461
80,4.87441
80,4.05545
80,5.261862
80,5.458156
80,14.359788
80,3.8784
81,3.181322
81,2.423948
81,2.883248
81,2.293084
81,3.37334
81,6.371628
81,7.080678
81,3.270276
81,11.248602
81,3.88054
