N,Iteracoes
112,15293
112,10352
112,15420
112,11689
112,12383
112,11877
112,11188
112,11517
112,10060
113,12795
113,14007
113,16027
113,31927
113,14387
113,12019
113,16709
113,10734
113,13257
113,15878
114,12240
114,13594
114,11833
114,8854
114,14683
114,17932
114,13199
114,14795
114,21770
114,9893
115,14603
115,10601
115,17903
115,16545
115,12192
115,11986
115,20609
115,13721
115,15802
115,12648
116,10103
116,15760
116,15345
116,12383
116,11882
116,22411
116,15566
116,12021
116,14336
116,13751
117,12228
117,11775
117,14154
117,12629
117,14301
117,17074
117,15790
117,14717
117,12214
117,15942
118,14229
118,20897
118,11263
118,13625
118,13669
118,19500
118,13232
118,14327
118,11463
118,11943
119,12395
119,18471
119,17174
119,11179
119,12745
119,15787
119,13742
119,14312
119,15974
119,14609
120,12683
120,16065
120,13700
120,15455
120,16338
120,14114
120,15737
120,12175
120,14475
120,13922
121,16141
121,15084
121,16422
121,10362
121,12020
121,11353
121,13188
121,14915
121,12863
121,13256
122,13383
122,11968
122,25653
122,13031
122,12623
122,17683
122,12699
122,17560
122,16643
122,14535
123,19007
123,13005
123,18488
123,19447
123,18832
123,24433
123,11904
123,15651
123,19596
123,13834
124,14737
124,14511
124,28666
124,16765
124,16427
124,15661
124,11547
124,14553
124,16988
124,15158
125,11405
125,12475
125,15578
125,17221
125,21112
125,12026
125,12847
125,18931
125,12084
125,14126
126,19818
126,19015
126,16525
126,20249
126,25217
126,13787
126,15292
126,13343
126,28148
126,11841
127,16896
127,15823
127,14957
127,13060
127,17386
127,15254
127,16397
127,14945
127,22023
127,15088
128,12306
128,13466
128,14015
128,15423
128,17326
128,14836
128,13886
128,13956
128,17141
128,14362
129,33952
129,14893
129,13018
129,14187
129,17830
129,16037
129,18904
129,15465
129,13318
129,14933
130,22383
130,14928
130,17323
130,16740
130,16079
130,24671
130,20918
130,53905
130,24221
130,16751
131,13226
131,14058
131,17330
131,28069
131,16244
131,14934
131,14075
131,15961
131,15670
131,22326
132,22344
132,22474
132,14804
132,27600
132,20719
132,16624
132,27568
132,13829
132,15530
132,23782
133,17115
133,15946
133,19581
133,14529
133,14559
133,31232
133,14990
133,25114
133,16450
133,17212
134,17315
134,21092
134,14130
134,18398
134,24231
134,15805
134,22734
134,16484
134,18695
134,16205
135,15938
135,25019
135,19556
135,13870
135,17642
135,14589
135,16561
135,14687
135,29346
135,16495
136,17251
136,22638
136,40305
136,15468
136,19300
136,14632
136,15008
136,21954
136,15889
136,28536
137,19870
137,22395
137,18761
137,16088
137,16685
137,14689
137,17816
137,28794
137,17317
137,18070
138,18712
138,21785
138,13528
138,34436
138,18213
138,31200
138,14982
138,18192
138,15242
138,18747
139,21442
139,14564
139,17378
139,14283
139,30624
139,20017
139,16441
139,18403
139,16844
139,29138
140,25840
140,14523
140,16413
140,20408
140,17053
140,20683
140,25795
140,13940
140,20760
140,20304
141,24657
141,17690
141,18935
141,17452
141,17389
141,29667
141,15533
141,16956
141,30034
141,21481
142,18802
142,19412
142,26639
142,15076
142,21210
142,18841
142,20037
142,17298
142,21794
142,38078
143,18618
143,20372
143,18043
143,24544
143,16835
143,15469
143,18490
143,18866
143,19150
143,18816
144,21151
144,18332
144,21614
144,19569
144,22909
144,20170
144,20302
144,17192
144,17332
144,37722
145,16090
145,21232
145,23602
145,20525
145,16568
145,16122
145,27263
145,17697
145,19120
145,33688
146,19609
146,16570
146,15858
146,14078
146,20735
146,19010
146,20216
146,24574
146,21361
146,34939
147,21230
147,18163
147,30895
147,17320
147,20303
147,20030
147,19048
147,17620
147,19733
147,17999
148,21630
148,19831
148,25969
148,19557
148,21145
148,16853
148,21367
148,21334
148,22072
148,27780
149,19349
149,20993
149,29264
149,21390
149,21782
149,23174
149,28776
149,17460
149,23085
149,26549
150,17356
150,24090
150,18579
150,39723
150,18723
150,21235
150,17734
150,22915
150,19409
150,21747
151,20685
151,17817
151,47619
151,16738
151,20127
151,20591
151,20555
151,20494
151,23261
151,20183
152,19789
152,28403
152,20939
152,20623
152,32561
152,30660
152,24753
152,22971
152,30458
152,18702
153,19099
153,22891
153,32419
153,28316
153,18164
153,19308
153,21462
153,19530
153,20286
153,23689
154,21087
154,22252
154,29272
154,21739
154,26942
154,23904
154,35994
154,21148
154,19713
154,23749
155,26182
155,22532
155,35192
155,17892
155,23083
155,21313
155,20689
155,18491
155,24329
155,23225
156,22052
156,24298
156,17823
156,47361
156,29463
156,31524
156,20379
156,20871
156,31848
156,30496
157,23601
157,26879
157,27091
157,20083
157,23957
157,29900
157,19451
157,21569
157,19279
157,21469
158,20935
158,38771
158,22019
158,26269
158,21672
158,35218
158,28848
158,18095
158,25581
158,18888
159,19834
159,19077
159,44433
159,20711
159,23866
159,20429
159,30955
159,22132
159,20362
159,42156
160,22078
160,25614
160,19886
160,21367
160,52710
160,42516
160,36586
160,19520
160,19258
160,25558
161,26224
161,22602
161,22284
161,48898
161,30919
161,77596
161,30451
161,32899
161,20246
161,26051
162,22760
162,54290
162,38892
162,18411
162,20723
162,21288
162,22374
162,25911
162,28526
162,23329
163,20927
163,45201
163,23049
163,25365
163,29560
163,22547
163,24128
163,21795
163,22369
163,26284
164,26455
164,31408
164,22084
164,20152
164,23005
164,38912
164,22357
164,46455
164,29184
164,23657
165,27299
165,25470
165,22546
165,26050
165,20814
165,26031
165,22492
165,28987
165,23078
165,37088
166,22803
166,19967
166,24379
166,22684
166,35016
166,22867
166,18464
166,27349
166,31999
166,21566
167,23218
167,23774
167,28716
167,21848
167,20846
167,23297
167,23444
167,23961
167,26445
167,29459
168,25641
168,22144
168,18254
168,45391
168,24829
168,32462
168,21433
168,41212
168,25672
168,27231
169,23711
169,30086
169,23244
169,29512
169,36254
169,20994
169,30691
169,28476
169,30181
169,27293
170,22945
170,22588
170,28266
170,27780
170,21419
170,44305
170,25813
170,22133
170,27010
170,21953
171,26611
171,26339
171,21243
171,22837
171,28821
171,25812
171,27545
171,34687
171,32587
171,26722
172,25349
172,33764
172,21161
172,42872
172,21742
172,21920
172,35042
